name,topic,policy_statement,stance_score,quote
Marc Leadbeater,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"My preference is to reform corporate taxation and now is the time. The OECD's upcoming Pillar 2 rules will require a 15% minimum tax on large multinationals - expected to raise up to £40 million annually. In addition, we must close longstanding loopholes that allow many individuals to avoid paying tax, through personal investment companies. Jersey closed these gaps over 15 years ago; it's time we did the same."
Marc Leadbeater,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We need to listen to business and need to encourage new business. We had a nascent CBD industry in Guernsey where we issued about 14 licenses to growers across the Bailiwick, but we failed to support them. Government promised the Bailiwick of Guernsey cannabis association that they would support the industry. They promised they would work with the UK and find pathways to market because Guernsey, we have all this brilliant old horticultural industry infrastructure in place that this is sat there."
Marc Leadbeater,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote related to employment & skills was found in the candidate's text.
Marc Leadbeater,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance or quote related to transport & connectivity was found in the candidate's text.
Marc Leadbeater,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"Guernsey's ageing population presents one of our biggest social and financial challenges. We must ensure that people can access quality long-term care without the fear of losing their homes to pay for it. The current system is outdated and unsustainable. The SLAWS (Supported Living and Ageing Well Strategy) work stream offers a pathway to reform, but it must be properly funded and prioritised. I support developing a sustainable model that shares costs fairly, protects family homes, and ensures dignity in later life."
Marc Leadbeater,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",0,No specific stance or quote related to governance & political reform was found in the candidate's text.
Marc Leadbeater,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance or quote related to environment & sustainability was found in the candidate's text.
Mary Lowe,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"The States must step in and use their own land to build more affordable and social housing. As well as easing the current shortfall in housing it should encourage locals, as an example, our young people who left the island for University to return and contribute to island life and the community."
Mary Lowe,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Delaying the hospital extension would be a retrograde step, it must be seen as one of the priorities. It is unthinkable if barriers are put in place restricting access to health by wealth and I will continue to oppose any policies/charges that could result in a two-tier health system depending on the ability to pay."
Mary Lowe,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Educational outcomes must be a priority before buildings, our education system needs to excel and receive the necessary resources to do so. Investing in children’s education benefits all."
Mary Lowe,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"The States approved a GST PLUS PACKAGE, and not GST in isolation. The GST Plus package will raise money annually from companies, thousands of visitors and the wealthiest quarter of local households. The PACKAGE, which includes changes to social security and tax allowance will benefit low and middle income earners. Seven out of 10 households will be better off."
Mary Lowe,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,The difficulties travelling to the island with unreliable transport connectivity hasn’t helped our economy. The States need to recognise the airport & harbour are our gateways to the island and benefits the economy. If it means subsidising or reducing fees this should take place. Once passengers are here the subsidy would be recuperated by those spending on island benefiting the retail/hospitality sector.
Mary Lowe,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote related to Employment & Skills was found in the candidate's text.
Mary Lowe,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,The difficulties travelling to the island with unreliable transport connectivity hasn’t helped our economy. The States need to recognise the airport & harbour are our gateways to the island and benefits the economy. If it means subsidising or reducing fees this should take place.
Mary Lowe,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"The message the island needs to address the ‘ageing demographic’ problem sends out an unfortunate message to those who worked hard making this island successful. They should not be seen as a problem. There will unarguably be a cost as there are more older people relative to younger workers. But many older people are very active helping parents by looking after grandchildren, older relatives or friends and providing invaluable help with voluntary community services."
Mary Lowe,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"Form an independent SCRUTINY & PUBLIC ACCOUNTS COMMITTEE, not including politicians. THE GOVERNMENT BELONGS TO THE PEOPLE, It’s up to the people to decide what voting system they would like. Parish Deputies? District Deputies? or a mix of Island Wide and Parish Deputies? The public must decide. A referendum must be prepared soon after this election"
Mary Lowe,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Solar panels and heat pumps have been used on States premises with many more sites expected, once funds are available. Businesses and individuals have also seen the benefit installing these."
Lexi Lundberg,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Creating additional housing in Guernsey is key, addressing the housing shortage will be a big topic this term, I support new development opportunities and the creation of new policies to get Guernsey building."
Lexi Lundberg,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Access to affordable healthcare for all is essential. This includes reducing costs for GP appointments and A&E charges. Right now, patients are paying £70 for a standard doctor’s appointment. The medical grant must be increased to help offset such costs. I will advocate for an annual review of the medical grant to reflect inflation."
Lexi Lundberg,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"I support the development of the Les Ozouets campus and envision it as a “multiversity” offering diverse training options, including A-Levels, adult education, vocational training, and degree courses. This hybrid approach will provide the opportunities necessary to build a skilled and adaptable workforce for Guernsey’s future."
Lexi Lundberg,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,"I firmly oppose The introduction of GST—I will stand firm in working to reverse this decision, as it is a regressive tax. The establishment of an Inheritance Tax – I will always oppose the possibility of inheritance tax. I am against further tax hikes on the squeezed middle and lower income earners."
Lexi Lundberg,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"Guernsey's economy should be robust and diversified. We must foster emerging sectors like digital health and internet-based services, while also strengthening our finance industry."
Lexi Lundberg,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"I propose the introduction of permanent residency permits for skilled professionals and the promotion of green industries, such as renewable energy, sustainable practices, and marine conservation."
Lexi Lundberg,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"I am committed to improving Guernsey’s connectivity, particularly holding Aurigny accountable. Since its purchase in 2003, too much money has been spent without proper governance. If elected, I will set clear expectations for Aurigny, ensuring that its fleet prioritises reliable services to key hub airports."
Lexi Lundberg,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"To ensure the welfare of all islanders, we must focus on affordable housing and equitable social security policies. I propose a more inclusive system for self-employed individuals. I also vow to always act in the interests of individuals with disabilities, chronic illness, and mental health challenges; the most vulnerable in our society must be treated with compassion and understanding."
Lexi Lundberg,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I am committed to ensuring Guernsey is governed by leadership that truly reflects the will of its people. This manifesto is my pledge to you, the voter. I stand for integrity, transparency, and strong, open leadership—always placing the needs of our community at the heart of every decision."
Lexi Lundberg,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"Our natural environment is of utmost importance. It is imperative that we take decisive actions towards clean, renewable energy and position Guernsey as a leader in sustainable development. Affirmative actions towards minimising plastics and pollutants. Support for sustainable practices in industry and development. Advancement of renewable energy sources such as wind, tidal, and solar to achieve carbon-neutral objectives by 2050."
Paul Luxon,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",-2,Guernsey currently suffers from deficit of housing stock across all sectors. This is a disablement of base social needs and acts against economic enablement. This is an embedded problem through years of inadequate new home construction.
Paul Luxon,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance or quote related to Healthcare was found in the candidate's text.
Paul Luxon,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance or quote related to Education was found in the candidate's text.
Paul Luxon,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",2,It is simply unsustainable to continue to operate public finances on a deficit basis. A balanced budget including providing for required capital investment is imperative. We cannot overturn previous budget decisions whilst remaining in a significant deficit position.
Paul Luxon,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,No government can independently make an economy work. Government can enable and facilitate economic activity through business and employment-friendly policies. Strong business and investment activity is at its most productive with an environment of political stability and market certainty.
Paul Luxon,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,Underpinning this will be the release of workforce as Al technology accelerates releasing labour resources to offset the ageing demographic problem of a drastically reducing economically active labour pool.
Paul Luxon,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"Air and Sea transport links for our northern, southern and inter island routes have never been more important. Guernsey simply must have excellent connectivity options, both from a scheduling, frequency and ‘fair value price’ perspective."
Paul Luxon,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",0,No specific stance or quote related to Social Care & Community Wellbeing was found in the candidate's text.
Paul Luxon,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"More recently, the Non Executive roles I have occupied as a NED or Chair within my portfolio of appointments and interests have appropriately centred more on the attributes of good governance; professional board behaviours; strategic advisory; ethical leadership; corporate culture; fiscal compliance; Corporate Social Responsibility; executive mentoring; Environmental, Social and Governance."
Paul Luxon,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Environmental, Social and Governance."
Chris Machon,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Too many islanders are priced out of the housing market while properties sit empty. We must act with urgency and common sense to rectify this. Prioritise affordable housing for islanders, especially young families and key workers."
Chris Machon,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was provided in the text.
Chris Machon,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Treat digital infrastructure as essential for business, healthcare, education, and daily life."
Chris Machon,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,"No tax increases without clear evidence that public money is already being spent wisely and efficiently. Oppose broad-based tax hikes that hit working families hardest, there is no one-size-fits-all."
Chris Machon,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"Support long-term planning that balances economic growth, environmental protection, and community wellbeing."
Chris Machon,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on employment & skills was provided in the text.
Chris Machon,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"Reliable connections are vital — both physical and digital. Launch a full review of Aurigny to improve overall reliability, cost control, and service."
Chris Machon,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"As a professional with hearing impairment, I understand the barriers that can exist, not only in the workplace, but in public life. I want to see a States that is more accessible, more inclusive, and better equipped to represent all islanders."
Chris Machon,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Good governance should work like good engineering — built to last. Demand stronger oversight through regular audits and performance reviews of our public services.
Chris Machon,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Support long-term planning that balances economic growth, environmental protection, and community wellbeing. Invest in sustainable infrastructure that serves future generations."
Munazza Malik,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"I advocate for well-designed, higher-density housing in appropriate urban areas to make the best use of limited land while preserving our countryside."
Munazza Malik,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"To ease pressure on GP surgeries and improve access to primary care, I would support expanding services through community pharmacies. I also recognise the high cost of GP visits is a significant barrier for many. I would like to see further subsidies and alternative funding models to make healthcare more affordable for all."
Munazza Malik,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"A skilled population is the foundation of a resilient economy. I advocate for efforts to close Guernsey’s skills gap by: Aligning education with industry needs, Supporting adult learning and lifelong upskilling, Expanding digital and STEM education, Improving career guidance, Promoting vocational training and apprenticeships."
Munazza Malik,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"We need a tax system that is fair, sustainable, and enables economic growth — one that supports businesses without overburdening individuals. I do not support GST in isolation but I support the GST-Plus package that protects people on lower income while creating a broader, more equitable tax base."
Munazza Malik,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,"I advocate for policies that: Protect people on lower incomes, Support traditional and emerging industries, Attract new investment, Stimulate innovation, Safeguard the island’s long-term financial health."
Munazza Malik,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"A skilled population is the foundation of a resilient economy. I advocate for efforts to close Guernsey’s skills gap by: Aligning education with industry needs, Supporting adult learning and lifelong upskilling, Expanding digital and STEM education, Improving career guidance, Promoting vocational training and apprenticeships."
Munazza Malik,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",2,"I advocate for policies that boost visitor numbers, support local businesses, and improve island connectivity: Air Links I advocate for defending open skies and conducting a full review of Guernsey’s air links — including the option of EMAS — to make travel more reliable, frequent, and affordable."
Munazza Malik,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"If elected, I would support delivering the four key “asks” of the Third Sector in Guernsey: Encourage Collaboration and Equal Partnership, Recognise the Sector’s Social and Economic Value, Strengthen Financial Stability, Enhance Volunteering."
Munazza Malik,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,I’m committed to making evidence-based decisions that deliver meaningful change for Guernsey.
Munazza Malik,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Our island’s green spaces and agricultural land are precious. Once lost, they are gone forever. Like Gibraltar, which addressed housing pressures by building upwards rather than outwards, we too must consider smarter, more sustainable development."
Liam McKenna,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"It’s time to take bold action to address Guernsey’s housing crisis. I propose a 12-month transition period for UK investors to divest from local market rental properties. We must also make better use of States-owned land. The Castel Hospital site has immense potential for development into 1, 2, and 3-bedroom apartments — designed for local people, sold at affordable prices, and protected by resale price restrictions to ensure long-term accessibility."
Liam McKenna,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"King Edward VII Hospital presents an ideal location for a care home or assisted living facility. Additionally, the Duchess of Kent House could be repurposed into essential accommodation for nursing and healthcare staff — an increasingly urgent need for our growing elderly population."
Liam McKenna,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance on education was provided in the candidate's text.
Liam McKenna,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-2,"NO to GST – Then, Now, Always. I have opposed a Goods and Services Tax (GST) for 5 years. Guernsey doesn’t need new taxes — we need a fairer system. A restructured corporate tax system, where finance companies pay their fair share, is the sustainable solution we need."
Liam McKenna,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We must explore alternative forms of revenue, Corporate Tax and renewable energy. Guernsey’s powerful 10-metre tides offer world-class potential for tidal energy development. A strategic investment in renewable energy—particularly tidal and wind—can create jobs, generate revenue, and drive innovation without burdening the taxpayer."
Liam McKenna,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on Employment & Skills was provided in the candidate's text.
Liam McKenna,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on Transport & Connectivity was provided in the candidate's text.
Liam McKenna,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"Prioritising Care and Key Worker Housing. King Edward VII Hospital presents an ideal location for a care home or assisted living facility. Additionally, the Duchess of Kent House could be repurposed into essential accommodation for nursing and healthcare staff — an increasingly urgent need for our growing elderly population."
Liam McKenna,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",0,No specific stance on Governance & Political Reform was provided in the candidate's text.
Liam McKenna,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"Powering Our Future Through Renewable Energy. Guernsey’s powerful 10-metre tides offer world-class potential for tidal energy development. A strategic investment in renewable energy—particularly tidal and wind—can create jobs, generate revenue, and drive innovation without burdening the taxpayer. Let’s embrace renewable energy not just as an environmental goal, but as an economic opportunity."
Carl Meerveld,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,Cut through the States’ planning bureaucracy that slows down private developments and give the Guernsey Housing Association the tools to accelerate the construction of affordable and key worker homes.
Carl Meerveld,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was found in the candidate's text.
Carl Meerveld,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",-1,Opposing the two-school education model (the Green Ribbon campaign).
Carl Meerveld,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-2,"Opposing the introduction of GST (the Red Ribbon campaign). Guernsey cannot tax its way to prosperity. Sustainable growth comes from economic diversification, such as the commercial scale offshore wind farm I have championed, not from ever-increasing GST or income tax."
Carl Meerveld,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,"Sustainable growth comes from economic diversification, such as the commercial scale offshore wind farm I have championed."
Carl Meerveld,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,The wind farm revenues would help fund essential services without squeezing household budgets and create around 200 skilled jobs.
Carl Meerveld,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"As an economic enabler directly impacting our cost of living, we must ensure that transportation routes are reliable, seats and freight are affordable, and Guernsey remains open for business and family life."
Carl Meerveld,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",0,No specific stance on social care and community wellbeing was found in the candidate's text.
Carl Meerveld,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",2,Embed Transparency & Accountability. This is essential for any government that wishes to maintain the confidence and support of its community. Guernsey is sadly lacking in the mechanisms to enable this. We need to introduce a Freedom of Information Law and establish an independent Ombudsman for administrative complaints.
Carl Meerveld,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"Generating income from an Offshore Wind Farm. Furthermore, it will enable Guernsey to make a disproportionately large contribution to mitigating human-induced climate change, a clear threat to future generations."
Tamara Menteshvilli,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",0,The candidate did not provide a clear stance on housing.
Tamara Menteshvilli,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Within government, I intend to focus on three particular areas: health/social care, education and treasury functions, thus effecting positive changes for all age groups and funding policies to ensure they happen."
Tamara Menteshvilli,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,Protect the development of our children’s future by ensuring education policies are fit for purpose.
Tamara Menteshvilli,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"With regard to the latter, managing financial risks whilst spending taxpayer’s money (and ensuring value for money) requires delicate balancing, but also greater scrutiny, as its policies influences policies across all government committees (which touches upon every aspect of everyday life)."
Tamara Menteshvilli,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"As CEO and Founding Director of the CISX (now TISE), from 1998 to 2013, I brought together varied financial services expertise to successfully position the CISX at the heart of the financial services industry in the Channel Islands, increasing the appeal of the Islands for financial services business and helping to consolidate their position as leading international finance centres."
Tamara Menteshvilli,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,The candidate did not provide a clear stance on employment and skills.
Tamara Menteshvilli,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,The candidate did not provide a clear stance on transport and connectivity.
Tamara Menteshvilli,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,Devise and implement a more cohesive plan for the integration of social care within the community.
Tamara Menteshvilli,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"Being a highly principled individual, I strongly believe in the integrity of one’s actions and to be fully accountable for decisions taken. It is what any resident of Guernsey should expect and what they deserve."
Tamara Menteshvilli,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,The candidate did not provide a clear stance on environment and sustainability.
Jeremy Mercer,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,Release States land for emergency housing and provide locals the opportunity to buy and build their own homes. End discrimination in the housing market and prioritize locals for rental properties.
Jeremy Mercer,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was mentioned in the text.
Jeremy Mercer,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"Provide a broad, skills-based education and practical lessons in schools. Offer bursaries and apprenticeships to support career paths that benefit Guernsey."
Jeremy Mercer,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"Promote economic growth, support families, and explore tax measures that benefit the local population. No GST."
Jeremy Mercer,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,"Introduce measures to promote growth in the economy after years of stagnation and indecision (eg accommodation incentives, incentives for creating 250 jobs or more etc) and be open and welcoming and accommodating to new business."
Jeremy Mercer,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"Provide apprenticeship routes in all employment sectors from the known trades, to floor fitters and farmers and baristas."
Jeremy Mercer,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,Explore options for resilient and affordable travel to and from Guernsey.
Jeremy Mercer,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",0,No specific stance on social care and community wellbeing was mentioned in the text.
Jeremy Mercer,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"Rationalize middle management roles, prioritize local staff, and introduce referenda for important issues."
Jeremy Mercer,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,Utilize solar panels on States property roofs and explore tidal power as a major energy asset.
Dianne Mitchell,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",-1,Housing costs for buyers and renters is proving a block for recruitment and retention with high agency costs as a result. I applaud the work of the Guernsey Housing Association (GHA) but affordable housing is almost impossible with the high costs of land and its clearance.
Dianne Mitchell,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,"We should be an attractive proposition for businesses, and yet retention and recruitment, particularly in Healthcare and Education and the service sector are struggling."
Dianne Mitchell,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,I have been a teacher here and in the UK. I opened a school for autistic youngsters and developed strategic policy and practice in Portsmouth as a Director of Education working across children’s services.
Dianne Mitchell,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"Taxes are inevitable and complex. Council tax in the UK for a three bedroom home in a good area could be from £2000 per annum (PA) upwards. Income tax over an income of £50,271 is 40% PA and VAT is 20% on goods and services."
Dianne Mitchell,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,Support sustained economic and business growth particularly support for small and medium businesses.
Dianne Mitchell,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,Support workforce retention and recruitment.
Dianne Mitchell,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"Sustain global connectivity, tourism and transport with a priority early on for ports and airports in a climate of environmental stability."
Dianne Mitchell,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"Our population is increasingly aging and my own mother is 92, in Bournemouth and suffering from dementia. Our family have struggled to find appropriate care and have made many sacrifices to ensure she is well looked after."
Dianne Mitchell,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I am in favour of government and civil service reform with a view to reducing costs, more joined up thinking and would support making better use of the expertise and willingness found in businesses, charities and the Douzaines."
Dianne Mitchell,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on environment and sustainability was found in the candidate's text.
Nick Moakes,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,I believe that housing must be at the top of the government’s priority list. The number of homes built over the last decade has not been anywhere near enough to meet the needs of the island.
Nick Moakes,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"The physical and mental health of Guernsey’s residents is of paramount importance so, as demand increases, it is vital that the government has the money and resources to provide the services which islanders need. I support investment into Health and Social care and want to ensure that we can look after everyone, particularly our ageing population and our most vulnerable residents."
Nick Moakes,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"I believe that it is important that students leave our schools / colleges with a strong academic skill set so that they can fill local roles across a diverse range of industry sectors. Therefore, It is critical that our island provides a high standard of education to support Guernsey’s long-term economic sustainability."
Nick Moakes,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"The government must continue to look for efficiencies and savings, but they alone will not close the fiscal deficit so we must find new ways to generate revenue. I did not originally support GST because I felt that it would impact the poorest households disproportionately. However, I did vote for GST+ because it included reforms to the social security and tax systems that would benefit lower income households."
Nick Moakes,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,I want to see a government that supports all industry sectors by actively engaging with local businesses and industry associations to ensure that policies / strategies are developed in partnership with industry.
Nick Moakes,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"I support initiatives that will help to upskill local people of all ages, who see opportunities but are unable to access them due to not having the required skills or qualifications."
Nick Moakes,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"Our air and sea links are social and economic enablers. Families, businesses and the tourism sector rely on them. This means that the Government needs to ensure that Guernsey has reliable connectivity and frequency at affordable prices."
Nick Moakes,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"I support investment into Health and Social care and want to ensure that we can look after everyone, particularly our ageing population and our most vulnerable residents."
